job_id,title,company,city,location,work_mode,applications,posted_before,skills,url
4280202652,Mötesbokare,EMS MEDIA,Sweden,Sweden,Remote,20.0,12 hours ago,"Advertising, Sales Process, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4280202652&keywords=&location=Sweden&start=125
4277635250,Intresseanmälan Volvo Construction Equipment Arvika,Volvo Construction Equipment,Arvika,"Arvika, Värmland County, Sweden",,14.0,1 week ago,"Construction, Construction Machinery, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4277635250&keywords=&location=Sweden&start=125
4279273810,Baristor till Caffè Nero Liljeholmen,Caffè Nero Sweden,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,3.0,4 days ago,"AV, Operations Management, +4 more",https://www.linkedin.com/jobs/search/?currentJobId=4279273810&keywords=&location=Sweden&start=125
4264404666,Fritidsledare Deltid 50%,Olofströms Kommun,Olofström,"Olofström, Blekinge County, Sweden",,4.0,3 weeks ago,"Pastoral, Swedish, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4264404666&keywords=&location=Sweden&start=125
4274637065,Evenemangspersonal,Egenföretagare,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,17.0,1 week ago,"Time Management, Marketing, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4274637065&keywords=&location=Sweden&start=125
4255087646,Motion Graphic Designer (Fixed-Term Contract),Viaplay Group,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,Reposted 3 days ago,"animation, dynamic images, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4255087646&keywords=&location=Sweden&start=125
4281536375,43978 Assistent till äldre kvinna i Sollentuna,VIVBON AB,Upplands Väsby och Sollentuna,"Upplands Väsby och Sollentuna, Stockholm County, Sweden",On-site,0.0,2 days ago,"Purchase (buy), Assistant Guide, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281536375&keywords=&location=Sweden&start=125
4004616150,Spontanansökan,Linklaters Sweden,Stockholm,"Stockholm, Stockholm County, Sweden",Hybrid,100.0,Reposted 2 weeks ago,"Operations Management, Open Source Software, +2 more",https://www.linkedin.com/jobs/search/?currentJobId=4004616150&keywords=&location=Sweden&start=125
4259890771,Produktionspersonal till våra stålvalsverk på Ovako i Boxholm,Ovako Group,Boxholm,"Boxholm, Östergötland County, Sweden",,6.0,1 month ago,"Manufacturing, Cooperation, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4259890771&keywords=&location=Sweden&start=125
4268810773,Process Engineer,Tetra Pak,Lund,"Lund, Skåne County, Sweden",,100.0,3 weeks ago,"Troubleshooting, Process Design, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4268810773&keywords=&location=Sweden&start=125
4277395823,Affärsgymnasiet Sports Academy söker tysklärare 20%,Edukatus Alliance AB,Umeå,"Umeå, Västerbotten County, Sweden",,0.0,4 days ago,"German teaching, teaching, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4277395823&keywords=&location=Sweden&start=125
4267642144,Content Creator sökes – skapa scrollstoppande städkärlek,Sunda AB,Gävle,"Gävle, Gävleborg County, Sweden",Hybrid,21.0,3 weeks ago,"TAKE, OFF, +3 More",https://www.linkedin.com/jobs/search/?currentJobId=4267642144&keywords=&location=Sweden&start=125
4262547147,Pressekreterare till Rymdstyrelsen,Rymdstyrelsen,Stockholm,"Stockholm, Stockholm County, Sweden",,100.0,4 weeks ago,"Journalism, PR, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4262547147&keywords=&location=Sweden&start=125
4263071667,Arbetsledare Front Office & Meetings,Liseberg,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",,87.0,4 weeks ago,"Hotel Management, Counter Work, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4263071667&keywords=&location=Sweden&start=125
4263027751,Director of Food And Beverage,Confidential,EMEA,EMEA,Remote,100.0,4 weeks ago,"Food & Beverage, Team Leadership, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4263027751&keywords=&location=Sweden&start=125
4280759841,Kontrollanläggningsingenjör,Vattenfall,Katrineholm,"Katrineholm, Södermanland County, Sweden",On-site,1.0,2 days ago,"Operations Management, AV, +1 more",https://www.linkedin.com/jobs/search/?currentJobId=4280759841&keywords=&location=Sweden&start=125
4279495212,Premiumrådgivare till Sparbanken Alingsås - Lerumskontoret,Sparbanken Allingsås,Lerum,"Lerum, Västra Götaland County, Sweden",,0.0,1 day ago,"Human Resources (HR), Operations Management, +3 more",https://www.linkedin.com/jobs/search/?currentJobId=4279495212&keywords=&location=Sweden&start=125
4270694361,Vi söker lärare i spanska till Montessori Mondial Malmö,Academedia,Malmo,"Malmo, Skåne County, Sweden",On-site,9.0,2 weeks ago,"Teaching, Spanish Teaching, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4270694361&keywords=&location=Sweden&start=125
4271738144,Coordinator/kvalitetsansvarig,SWEDEGG AB,Eslöv,"Eslöv, Skåne County, Sweden",Hybrid,100.0,1 week ago,"Public Speaking, Team Leadership, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4271738144&keywords=&location=Sweden&start=125
4264997783,Kryssningsfartyget Birka söker Köksbiträden och Diskare,VIKING LINE SKANDINAVIEN AB,Nacka,"Nacka, Stockholm County, Sweden",On-site,28.0,3 weeks ago,"dishwashing, cooking, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4264997783&keywords=&location=Sweden&start=125
4278138475,Vi vill bli fler i köket på Pinchos Magasinsgatan Göteborg,Pinchos,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",On-site,5.0,6 days ago,"Insured Value, AV, +3 more",https://www.linkedin.com/jobs/search/?currentJobId=4278138475&keywords=&location=Sweden&start=125
4268192497,Pressekreterare till Swedavia,Swedavia AB,Stockholm County,"Stockholm County, Sweden",Hybrid,90.0,3 weeks ago,"Journalism, Media Relations, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4268192497&keywords=&location=Sweden&start=125
